session_code;group_id;chat_id;From;To;body;timestamp;nickname;participant_code;channel
ydcii5mf;26;10;Blue;Green;me ne fotto;17.787.691.493.358.200;RightPartner;nhtas8ou;13-bargaining_tdl_main-26_2_3
ydcii5mf;26;11;Green;Blue;dai oh;17.787.691.558.054.100;LeftPartner;vjee2hk6;13-bargaining_tdl_main-26_2_3
ydcii5mf;26;12;Green;Blue;stai al gioco;17.787.691.599.691.900;LeftPartner;vjee2hk6;13-bargaining_tdl_main-26_2_3
ydcii5mf;26;13;Green;Blue;c caz;177.876.916.289.137;LeftPartner;vjee2hk6;13-bargaining_tdl_main-26_2_3
ydcii5mf;26;14;Blue;Red;il green mi dice di restare;17.787.691.753.553.800;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;15;Blue;Red;che ne pensi?;17.787.691.783.672.100;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;16;Blue;Red;lo fottiamo?;1.778.769.182.605.350;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;17;Red;Blue;eh eh tu c disc?;17.787.691.948.950.000;RightPartner;frsokvko;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;18;Red;Blue;6-6?;17.787.691.983.561.400;RightPartner;frsokvko;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;19;Blue;Red;essi dai;1.778.769.204.844.060;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;20;Blue;Red;mo gli dico che sfanculo;177.876.921.134.506;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;21;Blue;Red;e poi scelgo comunqueeeeee;17.787.692.200.883.900;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;22;Blue;Green;wa fa l bkkin;17.787.692.267.877.400;RightPartner;nhtas8ou;13-bargaining_tdl_main-26_2_3
ydcii5mf;26;23;Red;Green;equal split bro;17.787.692.443.767.100;LeftPartner;frsokvko;13-bargaining_tdl_main-26_1_2
ydcii5mf;26;24;Green;Red;ok allora vado per equal split;1.778.769.257.511.440;RightPartner;vjee2hk6;13-bargaining_tdl_main-26_1_2
ydcii5mf;26;25;Green;Red;mi sembra più giusto;1.778.769.263.812.980;RightPartner;vjee2hk6;13-bargaining_tdl_main-26_1_2
ydcii5mf;26;26;Green;Blue;io farò equal split;17.787.692.869.850.100;LeftPartner;vjee2hk6;13-bargaining_tdl_main-26_2_3
ydcii5mf;26;27;Green;Blue;ho accordo con il rosso;17.787.692.990.554.700;LeftPartner;vjee2hk6;13-bargaining_tdl_main-26_2_3
ydcii5mf;26;28;Red;Blue;vai famo 6-6;1.778.769.337.124.200;RightPartner;frsokvko;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;29;Red;Blue;stratop;17.787.693.457.453.800;RightPartner;frsokvko;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;30;Blue;Red;oooooookkkkk;17.787.693.546.951.500;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
